hora,Gasto_Instantaneo,Presion_Instantanea,Nivel_1,volumen_m3
0,0.0,5.0,2.78768063559322,0.0
1,0.0,5.0,2.8219469915254236,0.0
2,0.0,5.0,2.8670465508474576,0.0
3,0.0,5.0,2.9193399237288133,0.0
4,0.0,5.0,2.9713880423728813,0.0
5,0.0,5.0,3.0210079491525423,0.0
6,0.0,5.0,3.0498951101694916,0.0
7,0.0,5.0,3.0368656864406782,0.0
8,0.0,5.0,2.9849289318755257,0.0
9,0.0,4.962406015037594,2.9241699498746865,0.0
10,0.0,4.9491525423728815,2.8680261779661014,0.0
11,0.0,5.0,2.805248859348199,0.0
12,0.0,5.0,2.7523346982758623,0.0
13,0.0,5.0,2.6869899051724135,0.0
14,0.0,4.982758620689655,2.6296716120689654,0.0
15,0.0,4.875,2.5992859741379313,0.0
16,0.0,4.793103448275862,2.5874317931034483,0.0
17,0.0,4.741156169111303,2.585587187230371,0.0
18,0.0,4.758620689655173,2.6029072931034483,0.0
19,0.0,4.793103448275862,2.6601018362068967,0.0
20,0.0,4.9094827586206895,2.727508551724138,0.0
21,0.0,4.913793103448276,2.7500870862068965,0.0
22,0.0,4.913793103448276,2.7524429137931032,0.0
23,0.0,4.935344827586207,2.7596405603448275,0.0
