Gasto_Instantaneo,Presion_Instantanea,t_stamp,nombre_sitio,fecha_hora,volumen_m3,fecha,hora
44.1444,10.0,2025-06-06 11:15:33,p263,2025-06-06 11:15:33,0.73574,2025-06-06,11
44.1444,11.0,2025-06-06 11:12:33,p263,2025-06-06 11:12:33,0.73574,2025-06-06,11
44.1444,10.0,2025-06-06 11:09:33,p263,2025-06-06 11:09:33,0.73574,2025-06-06,11
44.1444,11.0,2025-06-06 11:06:33,p263,2025-06-06 11:06:33,0.73574,2025-06-06,11
44.1444,10.0,2025-06-06 11:03:33,p263,2025-06-06 11:03:33,0.73574,2025-06-06,11
44.1444,10.0,2025-06-06 11:00:33,p263,2025-06-06 11:00:33,0.73574,2025-06-06,11
44.1444,11.0,2025-06-06 10:57:33,p263,2025-06-06 10:57:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:54:33,p263,2025-06-06 10:54:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:51:33,p263,2025-06-06 10:51:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:48:33,p263,2025-06-06 10:48:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:45:33,p263,2025-06-06 10:45:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:42:33,p263,2025-06-06 10:42:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:39:33,p263,2025-06-06 10:39:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:36:33,p263,2025-06-06 10:36:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:33:33,p263,2025-06-06 10:33:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:30:33,p263,2025-06-06 10:30:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:27:33,p263,2025-06-06 10:27:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:24:33,p263,2025-06-06 10:24:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:21:33,p263,2025-06-06 10:21:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:18:33,p263,2025-06-06 10:18:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:15:33,p263,2025-06-06 10:15:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:12:33,p263,2025-06-06 10:12:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:09:33,p263,2025-06-06 10:09:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:06:33,p263,2025-06-06 10:06:33,0.73574,2025-06-06,10
44.1444,10.0,2025-06-06 10:03:33,p263,2025-06-06 10:03:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 10:00:33,p263,2025-06-06 10:00:33,0.73574,2025-06-06,10
44.1444,11.0,2025-06-06 09:57:33,p263,2025-06-06 09:57:33,0.73574,2025-06-06,9
44.1444,11.0,2025-06-06 09:54:33,p263,2025-06-06 09:54:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:51:33,p263,2025-06-06 09:51:33,0.73574,2025-06-06,9
44.1444,11.0,2025-06-06 09:48:33,p263,2025-06-06 09:48:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:45:33,p263,2025-06-06 09:45:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:42:33,p263,2025-06-06 09:42:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:39:33,p263,2025-06-06 09:39:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:36:33,p263,2025-06-06 09:36:33,0.73574,2025-06-06,9
44.1444,11.0,2025-06-06 09:33:33,p263,2025-06-06 09:33:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:30:33,p263,2025-06-06 09:30:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:27:33,p263,2025-06-06 09:27:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:24:33,p263,2025-06-06 09:24:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:21:33,p263,2025-06-06 09:21:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:18:33,p263,2025-06-06 09:18:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:15:33,p263,2025-06-06 09:15:33,0.73574,2025-06-06,9
44.1444,11.0,2025-06-06 09:12:33,p263,2025-06-06 09:12:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:09:33,p263,2025-06-06 09:09:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:06:33,p263,2025-06-06 09:06:33,0.73574,2025-06-06,9
44.1444,11.0,2025-06-06 09:03:33,p263,2025-06-06 09:03:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 09:00:33,p263,2025-06-06 09:00:33,0.73574,2025-06-06,9
44.1444,10.0,2025-06-06 08:57:33,p263,2025-06-06 08:57:33,0.73574,2025-06-06,8
44.1444,11.0,2025-06-06 08:54:33,p263,2025-06-06 08:54:33,0.73574,2025-06-06,8
44.1444,10.0,2025-06-06 08:51:33,p263,2025-06-06 08:51:33,0.73574,2025-06-06,8
44.1444,11.0,2025-06-06 08:48:33,p263,2025-06-06 08:48:33,0.73574,2025-06-06,8
