Gasto_Instantaneo,Presion_Instantanea,t_stamp,nombre_sitio,fecha_hora
43,37,2025-06-06 11:15:47,reb62a,2025-06-06 11:15:47
43,37,2025-06-06 11:12:47,reb62a,2025-06-06 11:12:47
43,37,2025-06-06 11:09:47,reb62a,2025-06-06 11:09:47
43,37,2025-06-06 11:06:47,reb62a,2025-06-06 11:06:47
43,37,2025-06-06 11:03:47,reb62a,2025-06-06 11:03:47
43,37,2025-06-06 11:00:47,reb62a,2025-06-06 11:00:47
43,37,2025-06-06 10:57:47,reb62a,2025-06-06 10:57:47
43,37,2025-06-06 10:54:47,reb62a,2025-06-06 10:54:47
43,37,2025-06-06 10:51:47,reb62a,2025-06-06 10:51:47
43,37,2025-06-06 10:48:47,reb62a,2025-06-06 10:48:47
43,37,2025-06-06 10:45:47,reb62a,2025-06-06 10:45:47
43,37,2025-06-06 10:42:47,reb62a,2025-06-06 10:42:47
43,37,2025-06-06 10:39:47,reb62a,2025-06-06 10:39:47
43,37,2025-06-06 10:36:47,reb62a,2025-06-06 10:36:47
43,37,2025-06-06 10:33:47,reb62a,2025-06-06 10:33:47
43,37,2025-06-06 10:30:47,reb62a,2025-06-06 10:30:47
43,37,2025-06-06 10:27:47,reb62a,2025-06-06 10:27:47
43,38,2025-06-06 10:24:47,reb62a,2025-06-06 10:24:47
43,38,2025-06-06 10:21:47,reb62a,2025-06-06 10:21:47
43,38,2025-06-06 10:18:47,reb62a,2025-06-06 10:18:47
43,38,2025-06-06 10:15:47,reb62a,2025-06-06 10:15:47
43,38,2025-06-06 10:12:47,reb62a,2025-06-06 10:12:47
43,38,2025-06-06 10:09:47,reb62a,2025-06-06 10:09:47
43,38,2025-06-06 10:06:47,reb62a,2025-06-06 10:06:47
43,38,2025-06-06 10:03:47,reb62a,2025-06-06 10:03:47
43,38,2025-06-06 10:00:47,reb62a,2025-06-06 10:00:47
43,38,2025-06-06 09:57:47,reb62a,2025-06-06 09:57:47
43,38,2025-06-06 09:54:47,reb62a,2025-06-06 09:54:47
43,38,2025-06-06 09:51:47,reb62a,2025-06-06 09:51:47
43,38,2025-06-06 09:48:47,reb62a,2025-06-06 09:48:47
43,38,2025-06-06 09:45:47,reb62a,2025-06-06 09:45:47
43,38,2025-06-06 09:42:47,reb62a,2025-06-06 09:42:47
43,38,2025-06-06 09:39:47,reb62a,2025-06-06 09:39:47
43,38,2025-06-06 09:36:47,reb62a,2025-06-06 09:36:47
43,38,2025-06-06 09:33:47,reb62a,2025-06-06 09:33:47
43,38,2025-06-06 09:30:47,reb62a,2025-06-06 09:30:47
43,38,2025-06-06 09:27:47,reb62a,2025-06-06 09:27:47
43,38,2025-06-06 09:24:47,reb62a,2025-06-06 09:24:47
43,38,2025-06-06 09:21:47,reb62a,2025-06-06 09:21:47
43,38,2025-06-06 09:18:47,reb62a,2025-06-06 09:18:47
43,38,2025-06-06 09:15:47,reb62a,2025-06-06 09:15:47
43,38,2025-06-06 09:12:47,reb62a,2025-06-06 09:12:47
43,38,2025-06-06 09:09:47,reb62a,2025-06-06 09:09:47
43,38,2025-06-06 09:06:47,reb62a,2025-06-06 09:06:47
43,38,2025-06-06 09:03:47,reb62a,2025-06-06 09:03:47
43,38,2025-06-06 09:00:47,reb62a,2025-06-06 09:00:47
43,38,2025-06-06 08:57:47,reb62a,2025-06-06 08:57:47
43,38,2025-06-06 08:54:47,reb62a,2025-06-06 08:54:47
43,38,2025-06-06 08:51:47,reb62a,2025-06-06 08:51:47
43,38,2025-06-06 08:48:47,reb62a,2025-06-06 08:48:47
43,38,2025-06-06 08:45:47,reb62a,2025-06-06 08:45:47
43,38,2025-06-06 08:42:47,reb62a,2025-06-06 08:42:47
43,38,2025-06-06 08:39:47,reb62a,2025-06-06 08:39:47
43,38,2025-06-06 08:36:47,reb62a,2025-06-06 08:36:47
43,38,2025-06-06 08:33:47,reb62a,2025-06-06 08:33:47
43,38,2025-06-06 08:30:47,reb62a,2025-06-06 08:30:47
43,38,2025-06-06 08:27:47,reb62a,2025-06-06 08:27:47
43,38,2025-06-06 08:24:47,reb62a,2025-06-06 08:24:47
43,38,2025-06-06 08:21:47,reb62a,2025-06-06 08:21:47
43,38,2025-06-06 08:18:47,reb62a,2025-06-06 08:18:47
43,38,2025-06-06 08:15:47,reb62a,2025-06-06 08:15:47
43,38,2025-06-06 08:12:47,reb62a,2025-06-06 08:12:47
43,38,2025-06-06 08:09:47,reb62a,2025-06-06 08:09:47
43,38,2025-06-06 08:06:47,reb62a,2025-06-06 08:06:47
43,38,2025-06-06 08:03:47,reb62a,2025-06-06 08:03:47
43,38,2025-06-06 08:00:47,reb62a,2025-06-06 08:00:47
43,36,2025-06-06 07:57:47,reb62a,2025-06-06 07:57:47
43,36,2025-06-06 07:54:47,reb62a,2025-06-06 07:54:47
43,36,2025-06-06 07:51:47,reb62a,2025-06-06 07:51:47
43,36,2025-06-06 07:48:47,reb62a,2025-06-06 07:48:47
43,36,2025-06-06 07:45:47,reb62a,2025-06-06 07:45:47
43,36,2025-06-06 07:42:47,reb62a,2025-06-06 07:42:47
43,36,2025-06-06 07:39:47,reb62a,2025-06-06 07:39:47
43,36,2025-06-06 07:36:47,reb62a,2025-06-06 07:36:47
43,36,2025-06-06 07:33:47,reb62a,2025-06-06 07:33:47
43,36,2025-06-06 07:30:47,reb62a,2025-06-06 07:30:47
43,36,2025-06-06 07:27:47,reb62a,2025-06-06 07:27:47
43,36,2025-06-06 07:24:47,reb62a,2025-06-06 07:24:47
43,36,2025-06-06 07:21:47,reb62a,2025-06-06 07:21:47
43,36,2025-06-06 07:18:47,reb62a,2025-06-06 07:18:47
43,36,2025-06-06 07:15:47,reb62a,2025-06-06 07:15:47
43,36,2025-06-06 07:12:47,reb62a,2025-06-06 07:12:47
43,36,2025-06-06 07:09:47,reb62a,2025-06-06 07:09:47
43,36,2025-06-06 07:06:47,reb62a,2025-06-06 07:06:47
43,36,2025-06-06 07:03:47,reb62a,2025-06-06 07:03:47
43,36,2025-06-06 07:00:47,reb62a,2025-06-06 07:00:47
43,36,2025-06-06 06:57:47,reb62a,2025-06-06 06:57:47
43,36,2025-06-06 06:54:47,reb62a,2025-06-06 06:54:47
43,36,2025-06-06 06:51:47,reb62a,2025-06-06 06:51:47
43,36,2025-06-06 06:48:47,reb62a,2025-06-06 06:48:47
43,41,2025-06-06 06:45:47,reb62a,2025-06-06 06:45:47
43,41,2025-06-06 06:42:47,reb62a,2025-06-06 06:42:47
43,41,2025-06-06 06:39:47,reb62a,2025-06-06 06:39:47
43,41,2025-06-06 06:36:47,reb62a,2025-06-06 06:36:47
